order_id,order_date,city,product,unit_price,quantity,total_revenue
IN-1000,2025-07-05,Hyderabad,Power Bank,52024.0,5,260120.0
IN-1001,2025-06-02,Chennai,Backpack,72840.0,3,218520.0
IN-1002,2025-05-11,Maharashtra,Backpack,70682.0,4,282728.0
IN-1003,2025-07-21,Maharashtra,Power Bank,17150.0,2,34300.0
IN-1004,2025-09-06,Maharashtra,Earbuds,12961.0,2,25922.0
IN-1005,2025-07-20,Bengaluru,Smartwatch,82450.0,5,412250.0
IN-1006,2025-03-04,Chennai,Backpack,5277.0,3,15831.0
IN-1007,2025-12-02,Bengaluru,Laptop,39772.5,5,198862.5
IN-1008,2025-10-25,Maharashtra,Laptop,70773.0,4,283092.0
IN-1009,2025-11-09,Chennai,Laptop,65047.0,5,325235.0
IN-1010,2025-02-08,Bengaluru,Backpack,1982.5,2,3965.0
IN-1011,2025-10-12,Delhi,Backpack,25469.0,5,127345.0
IN-1012,2025-05-03,Hyderabad,Laptop,18231.0,4,72924.0
IN-1013,2025-11-09,Maharashtra,Backpack,23949.0,4,95796.0
IN-1014,2025-03-24,Bengaluru,Earbuds,63197.5,5,315987.5
IN-1015,2025-03-22,Delhi,Backpack,43064.0,1,43064.0
IN-1016,2025-04-04,Delhi,Backpack,36738.0,5,183690.0
IN-1017,2025-11-07,Bengaluru,Smartphone,55533.75,3,166601.25
IN-1018,2025-03-23,Bengaluru,Backpack,3478.75,2,6957.5
IN-1019,2025-01-31,Maharashtra,Smartphone,4337.0,1,4337.0
IN-1020,2025-11-16,Bengaluru,Smartwatch,64512.5,4,258050.0
IN-1021,2025-01-05,Maharashtra,Earbuds,48429.0,5,242145.0
IN-1022,2025-01-11,Chennai,Power Bank,67053.0,5,335265.0
IN-1023,2025-12-23,Delhi,Laptop,58576.0,2,117152.0
IN-1024,2025-12-09,Bengaluru,Smartphone,63856.25,4,255425.0
IN-1025,2025-12-12,Hyderabad,Earbuds,30797.0,5,153985.0
IN-1026,2025-03-09,Delhi,Power Bank,34907.0,2,69814.0
IN-1027,2025-07-10,Gujrat,Backpack,51363.0,2,102726.0
IN-1028,2025-04-16,Maharashtra,Smartphone,13030.0,4,52120.0
IN-1029,2025-10-17,Maharashtra,Backpack,58820.0,3,176460.0
