order_id,order_date,city,product,unit_price,quantity
IN-1000,2025-07-05,Hyderabad,Power Bank,52024.0,5
IN-1001,2025-06-02,Chennai,Backpack,72840.0,3
IN-1002,2025-05-11,Maharashtra,Backpack,70682.0,4
IN-1003,2025-07-21,Maharashtra,Power Bank,17150.0,2
IN-1004,2025-09-06,Maharashtra,Earbuds,12961.0,2
IN-1005,2025-07-20,Bengaluru,Smartwatch,65960.0,5
IN-1006,2025-03-04,Chennai,Backpack,5277.0,3
IN-1007,2025-12-02,Bengaluru,Laptop,31818.0,5
IN-1008,2025-10-25,Maharashtra,Laptop,70773.0,4
IN-1009,2025-11-09,Chennai,Laptop,65047.0,5
IN-1010,2025-02-08,Bengaluru,Backpack,1586.0,2
IN-1011,2025-10-12,Delhi,Backpack,25469.0,5
IN-1012,2025-05-03,Hyderabad,Laptop,18231.0,4
IN-1013,2025-11-09,Maharashtra,Backpack,23949.0,4
IN-1014,2025-03-24,Bengaluru,Earbuds,50558.0,5
IN-1015,2025-03-22,Delhi,Backpack,43064.0,1
IN-1016,2025-04-04,Delhi,Backpack,36738.0,5
IN-1017,2025-11-07,Bengaluru,Smartphone,44427.0,3
IN-1018,2025-03-23,Bengaluru,Backpack,2783.0,2
IN-1019,2025-01-31,Maharashtra,Smartphone,4337.0,1
IN-1020,2025-11-16,Bengaluru,Smartwatch,51610.0,4
IN-1021,2025-01-05,Maharashtra,Earbuds,48429.0,5
IN-1022,2025-01-11,Chennai,Power Bank,67053.0,5
IN-1023,2025-12-23,Delhi,Laptop,58576.0,2
IN-1024,2025-12-09,Bengaluru,Smartphone,51085.0,4
IN-1025,2025-12-12,Hyderabad,Earbuds,30797.0,5
IN-1026,2025-03-09,Delhi,Power Bank,34907.0,2
IN-1027,2025-07-10,Gujrat,Backpack,51363.0,2
IN-1028,2025-04-16,Maharashtra,Smartphone,13030.0,4
IN-1029,2025-10-17,Maharashtra,Backpack,58820.0,3
IN-1030,2025-12-23,Delhi,Power Bank,12046.0,4
IN-1031,2025-01-15,Maharashtra,Power Bank,21018.0,1
IN-1032,2025-10-13,Hyderabad,Earbuds,58588.0,1
IN-1033,2025-04-15,Hyderabad,Laptop,45639.0,1
IN-1034,2025-08-14,Maharashtra,Smartwatch,9152.0,2
IN-1035,2025-05-18,Bengaluru,Smartphone,73413.0,4
IN-1036,2025-05-28,Gujrat,Smartwatch,64548.0,1
IN-1037,2025-09-14,Maharashtra,Smartphone,71966.0,5
IN-1038,2025-11-07,Maharashtra,Power Bank,71462.0,2
IN-1039,2025-04-21,Gujrat,Smartwatch,65343.0,3
IN-1040,2025-10-27,Bengaluru,Laptop,3895.0,3
IN-1041,2025-04-19,Chennai,Laptop,56227.0,3
IN-1042,2025-10-01,Chennai,Laptop,11949.0,2
IN-1043,2025-05-09,Bengaluru,Power Bank,58525.0,2
IN-1044,2025-06-27,Bengaluru,Earbuds,34439.0,2
IN-1045,2025-02-28,Maharashtra,Smartwatch,72077.0,4
IN-1046,2025-05-18,Hyderabad,Smartphone,2216.0,4
IN-1047,2025-07-02,Maharashtra,Backpack,54219.0,5
IN-1048,2025-05-18,Bengaluru,Backpack,26282.0,1
IN-1049,2025-03-10,Bengaluru,Power Bank,72842.0,5
IN-1050,2025-12-17,Maharashtra,Earbuds,29846.0,4
IN-1051,2025-07-30,Maharashtra,Laptop,6072.0,2
IN-1052,2025-02-12,Gujrat,Laptop,3511.0,2
IN-1053,2025-03-07,Gujrat,Smartwatch,53429.0,4
IN-1054,2025-08-31,Gujrat,Backpack,73567.0,4
IN-1055,2025-08-29,Maharashtra,Power Bank,22627.0,4
IN-1056,2025-07-29,Bengaluru,Laptop,66078.0,5
IN-1057,2025-05-25,Chennai,Smartwatch,26780.0,2
IN-1058,2025-05-29,Bengaluru,Power Bank,12864.0,3
IN-1059,2025-12-06,Maharashtra,Laptop,29899.0,4
IN-1060,2025-02-22,Gujrat,Power Bank,4134.0,4
IN-1061,2025-07-08,Bengaluru,Power Bank,55058.0,4
IN-1062,2025-05-16,Maharashtra,Smartwatch,29584.0,5
IN-1063,2025-04-20,Maharashtra,Backpack,25142.0,4
IN-1064,2025-02-16,Gujrat,Power Bank,4390.0,1
IN-1065,2025-10-16,Gujrat,Earbuds,66180.0,2
IN-1066,2025-07-24,Chennai,Power Bank,42382.0,2
IN-1067,2025-08-23,Bengaluru,Smartwatch,38050.0,4
IN-1068,2025-11-09,Maharashtra,Laptop,7955.0,4
IN-1069,2025-05-25,Chennai,Smartphone,7741.0,4
IN-1070,2025-09-06,Delhi,Smartphone,58876.0,3
IN-1071,2025-02-01,Hyderabad,Backpack,70280.0,2
IN-1072,2025-06-10,Maharashtra,Earbuds,45915.0,5
IN-1073,2025-03-19,Delhi,Backpack,8610.0,4
IN-1074,2025-08-14,Delhi,Power Bank,7271.0,3
IN-1075,2025-12-10,Delhi,Earbuds,56833.0,4
IN-1076,2025-10-02,Maharashtra,Laptop,9683.0,2
IN-1077,2025-08-16,Maharashtra,Backpack,4860.0,3
IN-1078,2025-06-06,Gujrat,Backpack,66075.0,2
IN-1079,2025-07-11,Hyderabad,Earbuds,13113.0,2
IN-1080,2025-03-28,Maharashtra,Laptop,33398.0,2
